                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1298,                 1.5053,                  1.401,                 0.9408,                  0.961,                 0.9862,                0.72226,                0.96476,                0.50407,                 1.2428,               0.070254,              0.0033051,              0.0033051
                      1,                0.94301,                0.77218,                 1.2407,                0.92099,                0.92558,                0.95198,                0.68003,                 1.0193,                0.61764,                 1.2916,               0.040123,               0.006507,               0.006507
                      2,                0.98716,                0.87016,                 1.2643,                0.84277,                0.83721,                0.88804,                0.58023,                 1.1364,                0.95349,                 1.4825,              0.0098594,              0.0095769,              0.0095769
                      3,                 1.0219,                0.88484,                 1.3126,                0.87631,                 0.8897,                0.95194,                0.62636,                 1.1595,                0.97608,                 1.4042,               0.009406,               0.009406,               0.009406
                      4,                 1.0435,                 0.8822,                 1.3137,                0.85362,                0.89506,                0.91704,                0.58114,                 1.1946,                 1.0392,                 1.5496,               0.009406,               0.009406,               0.009406
                      5,                 1.0224,                0.83933,                 1.3047,                0.92634,                0.94884,                0.97063,                0.64962,                 1.1235,                 0.6948,                 1.3684,               0.009208,               0.009208,               0.009208
                      6,                0.99771,                0.79339,                 1.2853,                  0.902,                0.92558,                0.94511,                0.63845,                 1.0949,                0.72309,                 1.3443,                0.00901,                0.00901,                0.00901
                      7,                0.94452,                0.74267,                 1.2619,                0.89136,                0.96744,                0.94997,                0.65059,                 1.0506,                0.68487,                 1.3065,               0.008812,               0.008812,               0.008812
                      8,                0.96346,                0.77477,                 1.2592,                 0.9071,                0.92093,                0.96198,                0.62733,                 1.1682,                0.65591,                  1.447,               0.008614,               0.008614,               0.008614
                      9,                0.93864,                0.72752,                  1.256,                0.92828,                0.96322,                0.96537,                 0.6559,                 1.0552,                 0.6477,                 1.3219,               0.008416,               0.008416,               0.008416
                     10,                0.90347,                0.70039,                 1.2294,                0.96159,                0.93148,                0.97309,                 0.6797,                 1.0585,                0.53121,                 1.3613,               0.008218,               0.008218,               0.008218
                     11,                0.88034,                0.68847,                 1.2124,                0.97111,                  0.938,                0.98848,                0.67309,                 1.0711,                0.54605,                 1.3379,                0.00802,                0.00802,                0.00802
                     12,                0.89792,                0.68625,                 1.2177,                0.97421,                0.95349,                0.98683,                 0.6951,                 1.0317,                0.50876,                 1.2916,               0.007822,               0.007822,               0.007822
                     13,                0.86402,                0.65433,                  1.208,                0.93525,                 0.9406,                0.97714,                0.68845,                 1.0211,                0.61874,                 1.2798,               0.007624,               0.007624,               0.007624
                     14,                0.86349,                0.63967,                 1.1967,                0.96687,                0.95349,                0.98325,                0.70789,                 1.0277,                0.54088,                 1.2842,               0.007426,               0.007426,               0.007426
                     15,                0.84943,                0.64105,                 1.2025,                 0.9363,                0.95715,                0.98382,                0.72419,                0.96457,                0.51142,                 1.2613,               0.007228,               0.007228,               0.007228
                     16,                0.82209,                0.60352,                 1.1836,                0.95462,                 0.9785,                0.98966,                0.70833,                 1.0001,                0.53514,                 1.2765,                0.00703,                0.00703,                0.00703
                     17,                0.81228,                0.60746,                 1.1683,                0.98078,                0.94945,                0.98234,                0.69175,                 1.0061,                0.48857,                 1.2671,               0.006832,               0.006832,               0.006832
                     18,                0.81336,                0.60606,                 1.1804,                0.92917,                0.97674,                0.98741,                0.71864,                0.99264,                0.47886,                 1.2632,               0.006634,               0.006634,               0.006634
                     19,                 0.7987,                0.57867,                 1.1513,                0.98501,                0.97674,                0.99194,                0.71718,                 1.0002,                0.45767,                 1.2611,               0.006436,               0.006436,               0.006436
                     20,                0.78089,                0.55709,                 1.1394,                0.99526,                 0.9763,                0.99286,                0.71629,                0.97716,                0.48415,                 1.2445,               0.006238,               0.006238,               0.006238
                     21,                0.77183,                0.56256,                  1.148,                0.95055,                0.98349,                0.98705,                 0.7103,                0.96324,                0.46923,                 1.2378,                0.00604,                0.00604,                0.00604
                     22,                  0.757,                0.56318,                 1.1462,                0.96764,                 0.9814,                0.98728,                 0.7261,                0.95737,                0.45322,                 1.2675,               0.005842,               0.005842,               0.005842
                     23,                0.77087,                0.56279,                 1.1465,                0.98488,                 0.9814,                0.98746,                0.73199,                0.96867,                0.42587,                  1.242,               0.005644,               0.005644,               0.005644
                     24,                0.73258,                0.52724,                 1.1214,                 0.9724,                0.98326,                0.98723,                0.74586,                  0.929,                0.42119,                 1.2081,               0.005446,               0.005446,               0.005446
                     25,                0.74621,                0.54942,                 1.1184,                 0.9905,                0.97003,                0.98935,                0.72953,                0.93875,                0.42552,                 1.2323,               0.005248,               0.005248,               0.005248
                     26,                0.74063,                0.53065,                 1.1194,                0.95903,                0.97979,                0.99032,                0.73585,                0.95789,                0.44773,                 1.2264,                0.00505,                0.00505,                0.00505
                     27,                0.71804,                0.50832,                 1.1121,                0.98514,                0.99535,                0.99082,                0.73443,                0.93633,                0.41622,                 1.2296,               0.004852,               0.004852,               0.004852
                     28,                0.71436,                0.49832,                 1.1043,                0.97835,                0.98605,                0.98951,                0.70436,                0.97639,                0.41003,                 1.2515,               0.004654,               0.004654,               0.004654
                     29,                0.72301,                0.51738,                 1.1112,                0.97963,                0.99535,                0.98993,                0.72978,                0.94108,                 0.4142,                  1.212,               0.004456,               0.004456,               0.004456
                     30,                0.69612,                0.48505,                 1.0965,                0.97642,                0.97674,                0.98437,                0.71952,                0.95952,                0.41746,                 1.2368,               0.004258,               0.004258,               0.004258
                     31,                 0.7028,                0.48405,                 1.0972,                0.97659,                 0.9907,                0.99067,                0.73123,                0.95322,                 0.3971,                 1.2354,                0.00406,                0.00406,                0.00406
                     32,                0.66073,                0.47198,                 1.0667,                0.97379,                0.99535,                0.99175,                 0.7424,                0.93475,                0.40252,                 1.2249,               0.003862,               0.003862,               0.003862
                     33,                0.66424,                0.46768,                 1.0786,                0.99354,                0.98605,                0.99228,                0.74197,                0.94565,                0.39201,                 1.2218,               0.003664,               0.003664,               0.003664
                     34,                0.65277,                0.45302,                 1.0742,                 0.9857,                 0.9907,                0.99164,                0.75261,                0.91723,                0.37808,                 1.2139,               0.003466,               0.003466,               0.003466
                     35,                0.63879,                  0.435,                 1.0667,                0.97691,                 0.9841,                0.98998,                 0.7401,                0.93313,                0.39056,                 1.2249,               0.003268,               0.003268,               0.003268
                     36,                0.64299,                0.44476,                 1.0629,                0.98844,                 0.9907,                 0.9903,                0.74114,                0.93211,                0.37793,                 1.2225,                0.00307,                0.00307,                0.00307
                     37,                0.61989,                0.43317,                 1.0574,                0.99528,                0.98055,                0.99089,                0.74896,                0.92827,                0.38067,                 1.2131,               0.002872,               0.002872,               0.002872
                     38,                0.61515,                0.42937,                  1.054,                0.98746,                 0.9907,                0.99164,                0.74774,                0.92483,                0.37696,                 1.2118,               0.002674,               0.002674,               0.002674
                     39,                0.60728,                0.41225,                 1.0454,                0.98814,                0.98605,                0.99128,                0.74985,                0.93753,                0.37473,                 1.2315,               0.002476,               0.002476,               0.002476
                     40,                0.56875,                0.36855,                  1.045,                 0.9722,                0.97582,                0.98817,                0.72822,                0.95669,                0.41586,                 1.2379,               0.002278,               0.002278,               0.002278
                     41,                0.56254,                0.35761,                 1.0406,                0.99532,                0.98922,                0.99089,                0.74501,                0.91231,                0.37994,                 1.2005,                0.00208,                0.00208,                0.00208
                     42,                 0.5533,                0.34407,                 1.0291,                0.98422,                0.98605,                0.99115,                0.74961,                0.92016,                0.37555,                  1.219,               0.001882,               0.001882,               0.001882
                     43,                0.53743,                0.33037,                 1.0154,                0.98899,                 0.9907,                0.99142,                0.73816,                0.94657,                0.38642,                 1.2509,               0.001684,               0.001684,               0.001684
                     44,                0.51871,                0.31496,                 1.0167,                0.98163,                0.99432,                 0.9918,                0.75359,                0.93011,                0.36635,                 1.2086,               0.001486,               0.001486,               0.001486
                     45,                0.50679,                0.30989,                0.99735,                0.99498,                0.98605,                0.99214,                 0.7526,                0.92286,                0.36587,                 1.1856,               0.001288,               0.001288,               0.001288
                     46,                0.50029,                0.29936,                0.99169,                0.99028,                 0.9907,                0.99182,                0.75454,                0.91998,                0.35376,                 1.2206,                0.00109,                0.00109,                0.00109
                     47,                 0.4907,                0.29422,                0.98731,                0.99168,                0.98605,                0.99192,                0.74906,                0.94152,                0.36653,                 1.2122,               0.000892,               0.000892,               0.000892
                     48,                0.47925,                0.28516,                0.97676,                0.99347,                0.98605,                0.99144,                0.76426,                0.92527,                0.35635,                 1.2154,               0.000694,               0.000694,               0.000694
                     49,                0.46986,                0.28009,                0.98088,                0.99073,                0.99376,                0.99173,                0.76432,                0.92106,                0.35051,                 1.2146,               0.000496,               0.000496,               0.000496
